u,v,length_m,highway
530282379,3969210072,115.8,living_street
3969210072,3969210068,133.5,living_street
3969210068,530282335,131.2,living_street
530282380,3969210073,115.9,living_street
3969210073,3969210069,132.8,living_street
3969210069,530282336,147.6,living_street
530282340,3969210069,36.9,living_street
530286880,12511769042,18.2,residential
12511769042,530286881,7.8,residential
530286881,12525941089,9.7,residential
12525941089,530286882,13.6,residential
530286882,530286883,14.2,residential
530286883,12525922273,17.9,residential
12525922273,530286884,1.8,residential
530286884,530286885,21.4,residential
530286885,530286886,30.5,residential
530286886,530286897,27.8,residential
530286897,530286898,15.0,residential
530286898,530286899,13.3,residential
530286899,530286905,3.6,residential
530286905,530286900,13.7,residential
530286900,530286901,19.1,residential
530286901,530286902,20.3,residential
530286902,530286903,20.8,residential
530286903,530286904,17.2,residential
530286904,530286918,20.9,residential
530286918,530286951,15.3,residential
530286951,530286952,15.2,residential
530286952,530286953,17.4,residential
530286953,530286954,17.7,residential
530286954,530286955,12.4,residential
530286955,530286956,11.4,residential
530286956,530286957,9.1,residential
530286957,530286958,8.3,residential
530286958,530286959,12.0,residential
530286959,530286960,17.8,residential
530286960,530286961,11.9,residential
530286961,530286962,11.0,residential
530286962,530286970,17.4,residential
530286970,530286971,5.3,residential
530286971,530286972,15.2,residential
530286972,530286973,19.2,residential
530286973,530286974,13.9,residential
530286974,530286975,12.6,residential
530286975,12525941081,7.5,residential
12525941081,530286976,7.5,residential
530286976,8481047426,28.6,residential
530286952,530286963,75.6,residential
530286963,530286964,15.1,residential
530286964,530286945,42.3,residential
530286945,530286946,50.4,residential
530286946,530286965,36.2,residential
530286965,530286966,20.5,residential
530286966,530286977,23.5,residential
530286977,530286983,8.1,residential
530286983,530286984,27.5,residential
530286984,530286985,12.9,residential
530286985,530286967,15.2,residential
530286967,530286968,11.7,residential
530286968,530286969,14.6,residential
530286905,530286906,90.8,residential
530286906,530286907,20.8,residential
530286907,530286908,13.8,residential
530286908,530286909,8.0,residential
530286909,530286910,14.3,residential
530286910,530286911,10.0,residential
530286911,530286912,10.6,residential
530286912,12525922286,6.1,residential
12525922286,530286913,7.3,residential
530286913,12525922285,8.0,residential
12525922285,530286914,6.3,residential
530286914,530286915,8.0,residential
530286915,12525922284,13.9,residential
12525922284,530286917,12.8,residential
530286917,530286916,4.2,residential
530286916,530286924,5.4,residential
530286924,12525922288,14.7,residential
12525922288,12525922289,4.0,residential
12525922289,12525922290,2.9,residential
12525922290,530286889,3.6,residential
530286889,12525922291,6.8,residential
12525922291,530286890,8.0,residential
