feature_id,name,lat,lon,lat2,lon2,sigungu,weight,geom,value,source
A6,예고개 중국단풍 가로수길,36.7441555,128.7243048,36.7809648,128.7389289,영주시,423,segment,0.0,가로수길 표준데이터 수종분류
A6,영주댐 일주도로 가로수길,36.7192101,128.6568352,36.8021403,128.7032997,영주시,3897,segment,1.0,가로수길 표준데이터 수종분류
A6,가흥신도시 완충녹지 메타세쿼이어길,36.810771,128.603681,36.818471,128.600371,영주시,300,segment,0.0,가로수길 표준데이터 수종분류
A6,지방도909호선,35.963226,128.743989,35.956187,128.832927,경산시,1510,segment,0.5,가로수길 표준데이터 수종분류
A6,국도4호선,35.877151,128.759413,35.909801,128.817241,경산시,1070,segment,0.5,가로수길 표준데이터 수종분류
A6,국도25호선,35.759804,128.736134,35.835215,128.723058,경산시,1202,segment,0.0,가로수길 표준데이터 수종분류
A6,국가지원지방도69,35.758178,128.847181,35.911685,128.822797,경산시,2774,segment,0.5,가로수길 표준데이터 수종분류
A6,국립백두대간수목원 진입로(강원도 방향),37.010711,128.827376,37.068953,128.757399,봉화군,2030,segment,0.0,가로수길 표준데이터 수종분류
A6,다덕약수탕 왕벚나무,36.913422,128.817111,36.914871,128.844014,봉화군,350,segment,1.0,가로수길 표준데이터 수종분류
A6,물야면 이팝나무,36.917087,128.737486,36.972008,128.737165,봉화군,680,segment,1.0,가로수길 표준데이터 수종분류
A6,오전댐 왕벚나무,36.996442,128.725189,37.010974,128.728349,봉화군,450,segment,1.0,가로수길 표준데이터 수종분류
A6,임기리 왕벚나무,36.915055,128.971126,36.877613,129.003363,봉화군,650,segment,1.0,가로수길 표준데이터 수종분류
A6,내성천 제방도로,36.893871,128.737436,36.885431,128.705611,봉화군,1000,segment,0.5,가로수길 표준데이터 수종분류
A6,해저리 왕벚나무,36.895346,128.716876,36.954041,128.691236,봉화군,1300,segment,1.0,가로수길 표준데이터 수종분류
A6,재산면 은행나무,36.833913,128.945971,36.819117,128.963783,봉화군,400,segment,0.0,가로수길 표준데이터 수종분류
A6,강남로(정상동),36.5541478,128.7361032,36.5544594,128.7375955,안동시,380,segment,1.0,가로수길 표준데이터 수종분류
A6,강남로(정하동),36.5532061,128.7227587,36.5528218,128.7244142,안동시,136,segment,0.0,가로수길 표준데이터 수종분류
A6,강남로(정하동),36.5540373,128.7362682,36.5542311,128.7371883,안동시,406,segment,0.0,가로수길 표준데이터 수종분류
A6,"충효로(정하동,정상동)",36.5539699,128.7359428,36.5507743,128.7363515,안동시,116,segment,0.667,가로수길 표준데이터 수종분류
A6,운동장길(정하동),36.5521218,128.7204787,36.5518332,128.7204946,안동시,111,segment,0.0,가로수길 표준데이터 수종분류
A6,산업단지1길(풍산읍),36.5959104,128.5373429,36.594832,128.5378243,안동시,194,segment,1.0,가로수길 표준데이터 수종분류
A6,산업단지1길(풍산읍),36.596899,128.5424246,36.593478,128.5435856,안동시,75,segment,0.0,가로수길 표준데이터 수종분류
A6,산업단지1길(풍산읍),36.5977519,128.5398714,36.597277,128.539672,안동시,49,segment,0.5,가로수길 표준데이터 수종분류
A6,산업단지2길(풍산읍),36.6022632,128.5435819,36.6026482,128.5451653,안동시,244,segment,1.0,가로수길 표준데이터 수종분류
A6,산업단지3길(풍산읍),36.595919,128.5373766,36.5961116,128.538509,안동시,129,segment,0.0,가로수길 표준데이터 수종분류
A6,산업단지4길(풍산읍),36.5975404,128.5450746,36.5981035,128.5475107,안동시,42,segment,0.0,가로수길 표준데이터 수종분류
A6,산업단지8길(풍산읍),36.5997958,128.5455554,36.5978053,128.5461861,안동시,44,segment,0.0,가로수길 표준데이터 수종분류
A6,산업단지5길(풍산읍),36.603374,128.540609,36.6018326,128.5406565,안동시,86,segment,1.0,가로수길 표준데이터 수종분류
