feature_id,name,lat,lon,value,group_id,seq,sigungu,geom,source
A4,모래,36.942591,129.420217,모래,1072,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.942443,129.420241,모래,1072,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.942279,129.420158,모래,1072,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.942138,129.42015,모래,1072,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.941965,129.420141,모래,1072,4,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.941829,129.420132,모래,1072,5,울진군,polyline_point,국립해양조사원 해안선 2026
A4,모래,36.941811,129.420263,모래,1072,6,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989816,129.414989,방벽,1131,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989715,129.414868,방벽,1131,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989582,129.414709,방벽,1131,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989481,129.414593,방벽,1131,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989314,129.414412,방벽,1131,4,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989157,129.414263,방벽,1131,5,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.989035,129.414151,방벽,1131,6,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988918,129.414058,방벽,1131,7,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988788,129.413991,방벽,1131,8,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988611,129.413926,방벽,1131,9,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.98846,129.413874,방벽,1131,10,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988318,129.413842,방벽,1131,11,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988179,129.413839,방벽,1131,12,울진군,polyline_point,국립해양조사원 해안선 2026
A4,방벽,36.988088,129.413832,방벽,1131,13,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,35.66518,129.460095,암반,1134,0,경주시,polyline_point,국립해양조사원 해안선 2026
A4,암반,35.66518,129.460095,암반,1134,1,경주시,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324384,129.381249,암반,1171,0,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324275,129.381352,암반,1171,1,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324326,129.381507,암반,1171,2,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324432,129.381398,암반,1171,3,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324557,129.381465,암반,1171,4,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324689,129.381394,암반,1171,5,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324679,129.381218,암반,1171,6,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.324679,129.381212,암반,1171,7,영덕군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.791983,129.462352,암반,1178,0,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792088,129.462466,암반,1178,1,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792106,129.4623,암반,1178,2,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792229,129.462585,암반,1178,3,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792333,129.462473,암반,1178,4,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792383,129.462641,암반,1178,5,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792421,129.462806,암반,1178,6,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792556,129.462784,암반,1178,7,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792647,129.46266,암반,1178,8,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792788,129.462669,암반,1178,9,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.792926,129.462737,암반,1178,10,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793034,129.462846,암반,1178,11,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793082,129.463008,암반,1178,12,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793066,129.463175,암반,1178,13,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793198,129.4631,암반,1178,14,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793289,129.46324,암반,1178,15,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793425,129.463207,암반,1178,16,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793546,129.463112,암반,1178,17,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.79364,129.463234,암반,1178,18,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793709,129.46309,암반,1178,19,울진군,polyline_point,국립해양조사원 해안선 2026
A4,암반,36.793841,129.462987,암반,1178,20,울진군,polyline_point,국립해양조사원 해안선 2026
